Fecha;SLV;GTM;HND;NIC;DOM;IPC_SV;IPC_GT;IPC_HN;IPC_NI;IPC_DO
1/1/1990;;;;;;29.94;14.02;17.28;;6.72
1/2/1990;;;;;;30.6;14.25;17.81;;6.76
1/3/1990;;;;;;31.46;14.67;17.98;;6.87
1/4/1990;;;;;;32.16;15.24;18.71;;7.06
1/5/1990;;;;;;32.4;16.16;18.95;;7.22
1/6/1990;;;;;;33.08;16.75;19.39;;7.39
1/7/1990;;;;;;33.25;17.34;20.02;;7.76
1/8/1990;;;;;;32.72;17.5;20.32;;8.66
1/9/1990;;;;;;33.02;18.57;20.61;;9.5
1/10/1990;;;;;;33.56;19.32;21.72;;10.43
1/11/1990;;;;;;34.26;20.06;22.44;;11.21
1/12/1990;;;;;;34.9;21.74;23.09;;11.88
1/1/1991;63.1;;;;;35.56;22.52;24.03;;11.9
1/2/1991;58.4;;;;;35.68;22.44;24.88;;12.34
1/3/1991;67.6;;;;;36.18;22.47;25.21;;12.46
1/4/1991;77.8;;;;;36.37;22.78;26.03;;12.28
1/5/1991;77.4;;;;;36.99;23.03;26.34;;12.25
1/6/1991;67.8;;;;;37.3;23.22;26.81;;12.28
1/7/1991;70;;;;;38.2;23.27;27.23;;12.32
1/8/1991;53.5;;;;;38.26;23.62;27.57;;12.5
1/9/1991;53.1;;;;;38.35;23.45;27.47;;12.67
1/10/1991;64;;;;;38.35;23.48;27.74;;12.7
1/11/1991;64.3;;;;;38.14;23.6;27.96;;12.71
1/12/1991;73.1;;;;;38.33;23.92;28.03;;12.82
1/1/1992;65;;;;;38.54;24.02;28.07;25.38;12.83
1/2/1992;66;;;;;38.65;24.27;28.38;25.19;12.63
1/3/1992;75.6;;;;;38.9;24.73;28.45;25.21;12.56
1/4/1992;74.5;;;;;39.32;24.92;28.74;25.34;12.62
1/5/1992;76.3;;;;;39.49;25.11;28.85;25.38;12.68
1/6/1992;75.6;;;;;39.95;25.3;28.87;25.16;13.03
1/7/1992;77.7;;;;;40.73;25.7;29.03;25.31;12.96
1/8/1992;62;;;;;41.9;25.9;29.09;25.18;13.08
